file_name,BIN,TIME,SHOULDER_DIST,EYE_DIST,SPEED,FWD,SOUND,DISTANCE,Lead vehicle brake onset,Ego vehicle brake onset,Reaction Time,ADAS,ADAS_S,ADAS_E,ID
AAQBL05557,-8,0,0.002005,0.016948,46,0,radio,29.63,-5.5,-3.9,1.6,0,nan,nan,"if you need this data, author can give as pseudonymized data"
AAQBL05557,-7.5,0.5,0.00132,0.016625,46,-0.03,radio,29.84,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-7,1,0.001494,0.015037,45,-0.03,radio,29.78,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-6.5,1.5,0.001352,0.016705,45,0.01,radio,31.28,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-6,2,0.00115,0.01612,45,0.04,radio,31.36,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-5.5,2.5,0.000726,0.015965,45,0.04,radio,31.4,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-5,3,0.001088,0.018229,45,0.02,radio,30.81,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-4.5,3.5,0.002704,0.018567,45,0.02,radio,30.65,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-4,4,0.002447,0.015095,45,-0.02,radio,30.43,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-3.5,4.5,0.002574,0.011078,44,-0.1,radio,31.9,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-3,5,0.003061,0.009385,42,-0.1,radio,31.92,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-2.5,5.5,0.004008,0.006567,42,-0.08,radio,31.96,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-2,6,0.002845,0.00682,41,-0.06,radio,34.3,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-1.5,6.5,0.002857,0.010531,40,-0.02,radio,34.41,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-1,7,0.002267,0.007798,39,-0.13,radio,34.29,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,-0.5,7.5,0.003049,0.006107,37,-0.27,radio,32.01,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,0,8,0.000696,0.003263,32,-0.41,radio,29.73,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,0.5,8.5,0.002075,0.002322,28,-0.42,radio,29.28,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,1,9,0.001303,0.000426,25,-0.32,radio,26.64,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,1.5,9.5,0.000632,0.00131,21,-0.28,radio,26.15,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,2,10,0.001097,0.003934,18,-0.2,radio,25.78,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,2.5,10.5,0.001555,0.006198,16,-0.16,radio,24.72,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,3,11,0.001643,0.013077,15,-0.09,radio,27.62,-5.5,-3.9,1.6,0,nan,nan,
AAQBL05557,3.5,11.5,0.001465,0.020212,15,0,radio,24.74,-5.5,-3.9,1.6,0,nan,nan,
AAQCP73520,-8,0,0.009346,0.011955,56,0.04,radio,34.99,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-7.5,0.5,0.010625,0.013203,56,0.03,radio,35.12,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-7,1,0.010916,0.014757,56,-0.04,radio,33.48,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-6.5,1.5,0.010691,0.016386,55,-0.08,radio,32.96,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-6,2,0.010332,0.018016,54,-0.11,radio,32.45,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-5.5,2.5,0.010857,0.016247,52,-0.11,radio,31.1,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-5,3,0.00931,0.014006,50,-0.11,radio,29.79,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-4.5,3.5,0.008782,0.013274,48,-0.06,radio,28.37,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-4,4,0.008047,0.02699,47,-0.12,radio,27.82,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-3.5,4.5,0.007025,0.012989,45,-0.11,radio,27.01,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-3,5,0.007862,0.011037,44,-0.1,radio,26.95,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-2.5,5.5,0.008723,0.016116,42,-0.05,radio,26.67,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-2,6,0.007137,0.020437,41,-0.03,radio,25.39,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-1.5,6.5,0.005214,0.015439,41,-0.1,radio,24.9,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-1,7,0.006133,0.013406,39,-0.19,radio,24.21,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,-0.5,7.5,0.006703,0.010041,36,-0.19,radio,23.8,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,0,8,0.006438,0.010704,34,-0.17,radio,23.09,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,0.5,8.5,0.001538,0.001845,31,-0.49,radio,21.35,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,1,9,0.003107,0.00905,25,-0.42,radio,20.91,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,1.5,9.5,0.00258,0.003627,20,-0.3,radio,20.28,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,2,10,0.00324,0.025579,17,-0.23,radio,17.05,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,2.5,10.5,0.00129,0.047772,14,-0.14,radio,16.82,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,3,11,0.001961,0.009031,12,-0.2,radio,16.49,-6,-5.1,0.9,0,nan,nan,
AAQCP73520,3.5,11.5,0.008635,0.012595,12,-0.07,radio,14.63,-6,-5.1,0.9,0,nan,nan,
AAQEY87462,-10,0,0.0102,0.011826,50,0,radio,33.42,-1.8,0,1.8,0,nan,nan,
AAQEY87462,-9.5,0.5,0.011107,0.019801,50,-0.01,radio,33.13,-1.8,0,1.8,0,nan,nan,
AAQEY87462,-9,1,0.010202,0.016993,49,-0.01,radio,33.71,-1.8,0,1.8,0,nan,nan,
AAQEY87462,-8.5,1.5,0.009973,0.019884,49,-0.01,radio,33.99,-1.8,0,1.8,0,nan,nan,
AAQEY87462,-8,2,0.008344,0.019637,48,-0.01,radio,34.98,-1.8,0,1.8,0,nan,nan,
AAQEY87462,-7.5,2.5,0.009855,0.017181,48,-0.01,radio,34.81,-1.8,0,1.8,0,nan,nan,
